GEOID,Name,Median_Hhold._Income_of_Residents_in_2012-16,Population_Density_in_2010,Poverty_Rate_in_2012-16,Total Population,Population 18 and Older,Population Under 18,White Alone,Black Alone,Asian Alone,Other Race Alone,Multi-Race,Hispanic,"White Alone, Non-Hispanic",Total Minority Population,Total Housing Units,Occupied Housing Units,Vacant Housing Units
18097320109,"Washington Township, Indianapolis, IN",50573,2441,0.1309,2578,2148,430,1915,247,198,55,163,124,1902,676,1251,1190,61
18097320202,"Washington Township, Indianapolis, IN",79905,1327,0.0874,4708,4036,672,4133,177,80,56,262,150,4095,613,2650,2219,431
18097320203,"Washington Township, Indianapolis, IN",42460,3559,0.1257,3087,2600,487,1963,497,144,227,256,374,1904,1183,1921,1790,131
18097320204,"Driftwood Hills, Indianapolis, IN",36438,2079,0.2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097320301,"Washington Township, Indianapolis, IN",70557,2549,0.0706,3413,2992,421,3007,192,41,51,122,108,2986,427,1939,1794,145
18097320303,"Washington Township, Indianapolis, IN",49235,5455,0.1214,3585,3073,512,1918,975,119,246,327,384,1856,1729,2224,2065,159
18097320304,"Washington Township, Indianapolis, IN",76252,2090,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097320400,"Eastwood, Indianapolis, IN",40778,2155,0.0728,3228,2465,763,1934,897,53,119,225,228,1905,1323,1508,1338,170
18097320500,"Washington Township, Indianapolis, IN",50638,2532,0.1018,3121,2533,588,2400,406,66,76,173,169,2368,753,1599,1533,66
18097320600,"Washington Township, Indianapolis, IN",50457,2302,0.1473,2554,2121,433,2189,93,31,95,146,168,2147,407,1323,1220,103
18097320700,"Warfleigh, Indianapolis, IN",70892,3348,0.1105,2353,2075,278,2037,66,77,48,125,97,2006,347,1479,1353,126
18097320800,"Washington Township, Indianapolis, IN",122414,1210,0.0349,3225,2492,733,2925,77,74,34,115,75,2905,320,1350,1254,96
18097320901,"Washington Township, Indianapolis, IN",49543,2889,0.1456,5883,4760,1123,3513,1585,176,250,359,374,3467,2416,2725,2579,146
18097320902,"Washington Township, Indianapolis, IN",34892,5386,0.3197,4644,3346,1298,1330,2295,278,381,360,647,1243,3401,2041,1886,155
18097320903,"Washington Township, Indianapolis, IN",34508,5665,0.2504,4922,3275,1647,657,2612,178,1041,434,1435,550,4372,1963,1710,253
18097321001,"Guion Lakes, Indianapolis, IN",40954,1781,0.2193,2860,2177,683,860,1100,85,550,265,775,760,2100,1147,1073,74
18097321002,"Washington Township, Indianapolis, IN",60796,1541,0.1336,4657,3718,939,2365,1701,132,150,309,271,2307,2350,2124,1986,138
18097321100,"Highland-Kessler, Indianapolis, IN",56434,1017,0.1131,3631,2966,665,2093,1148,70,109,211,208,2053,1578,1699,1564,135
18097321200,"Meridian-Kessler, Indianapolis, IN",110912,4072,0.0596,5071,4037,1034,4518,126,84,50,293,166,4454,617,2396,2251,145
18097321300,"Broad Ripple, Indianapolis, IN",67953,5265,0.0933,2619,2370,249,2342,87,37,33,120,104,2309,310,1520,1463,57
18097321400,"Washington Township, Indianapolis, IN",64779,2713,0.0922,5364,4440,924,3961,892,95,113,303,242,3914,1450,2700,2556,144
18097321600,"Washington Township, Indianapolis, IN",49180,2589,0.145,5024,4111,913,2238,2188,97,152,349,270,2201,2823,2532,2392,140
18097321700,"Indianapolis, IN",49831,3708,0.0397,4183,3594,589,3441,320,52,114,256,215,3386,797,2269,2133,136
18097321800,"Meridian-Kessler, Indianapolis, IN",97392,5244,0.0388,3556,2842,714,3134,124,51,52,195,130,3095,461,1674,1569,105
18097321900,"Indianapolis, IN",101279,6364,0.1883,6431,5677,754,5332,468,151,198,282,312,5280,1151,1457,1342,115
18097322000,"Indianapolis, IN",39237,3574,0.2165,3422,2803,619,1502,1545,34,102,239,187,1467,1955,1872,1582,290
18097322100,"Meridian-Kessler, Indianapolis, IN",42346,6344,0.1881,2706,1965,741,1469,990,24,44,179,121,1433,1273,1173,1051,122
18097322200,"Oliver Johnson's Woods, Indianapolis, IN",60557,5789,0.1054,2139,1607,532,1536,409,37,30,127,73,1506,633,921,868,53
18097322300,"Meridian-Kessler, Indianapolis, IN",73270,6445,0.0796,2528,1994,534,2123,187,33,28,157,82,2091,437,1196,1131,65
18097322400,"Indianapolis, IN",38953,5345,0.1965,2964,2525,439,1799,715,46,156,248,239,1757,1207,1725,1598,127
18097322500,"Indianapolis, IN",25325,1853,0.3587,1651,1281,370,598,750,22,168,113,209,576,1075,951,828,123
18097322600,"Indianapolis, IN",21152,2797,0.4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097322700,"Devington, Indianapolis, IN",40016,2315,0.1487,2002,1661,341,355,1437,14,121,75,181,328,1674,926,854,72
18097330103,"Indianapolis, IN",48941,2392,0.0768,4436,3763,673,2957,742,153,220,364,469,2879,1557,2541,2314,227
18097330105,"Indianapolis, IN",51164,1844,0.1046,5344,4301,1043,3109,1383,163,259,430,471,3014,2330,2881,2566,315
18097330106,"Indianapolis, IN",29028,3751,0.2985,4354,3634,720,2087,1526,158,261,322,472,2008,2346,2834,2422,412
18097330107,"Eagle Nest, Indianapolis, IN",96479,1750,0.0304,5683,4669,1014,4633,439,158,84,369,291,4562,1121,2438,2373,65
18097330108,"Indianapolis, IN",116597,1572,0.0173,3665,2988,677,3093,253,110,43,166,86,3085,580,1516,1465,51
18097330109,"Indianapolis, IN",87018,2481,0.0458,4907,3985,922,3689,466,148,176,428,388,3600,1307,2125,2081,44
18097330202,"Indianapolis, IN",40238,2379,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097330203,"Feather Cove III, Indianapolis, IN",108468,2727,0.0341,5418,4343,1075,4478,436,146,30,328,166,4447,971,2134,2060,74
18097330204,"Indianapolis, IN",84795,1955,0.0816,6133,4575,1558,3194,2027,131,229,552,500,3111,3022,2227,2173,54
18097330206,"Lawrence Woods, Indianapolis, IN",87562,3346,0.0462,4695,3563,1132,3162,926,133,91,383,273,3100,1595,1787,1754,33
18097330208,"Bay Ridge, Indianapolis, IN",71844,2896,0.0487,2879,2326,553,2125,387,77,77,213,192,2094,785,1293,1242,51
18097330209,"Indianapolis, IN",61130,2317,0.0956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097330401,"Indianapolis, IN",81660,2081,0.0426,5985,4475,1510,3910,1430,72,159,414,297,3881,2104,2319,2231,88
18097330500,"Devington, Indianapolis, IN",44028,2900,0.1798,6329,4967,1362,1637,3801,67,445,379,646,1553,4776,2790,2641,149
18097330600,"Indianapolis, IN",38878,5087,0.3331,5267,3848,1419,2303,1899,32,538,495,855,2155,3112,2315,2129,186
18097330700,"Indianapolis, IN",34905,4512,0.1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18097330803,"Indianapolis, IN",24689,7955,0.4252,3638,2356,1282,469,2417,7,470,275,726,369,3269,1720,1266,454
18097330804,"Indianapolis, IN",24195,6896,0.4573,3671,2400,1271,552,1748,16,967,388,1545,295,3376,1526,1366,160
18097330805,"Lawrence, IN",22631,2317,0.4643,3089,2146,943,877,1605,13,350,244,612,752,2337,1512,1328,184
18097330806,"Indianapolis, IN",26820,6578,0.3456,4269,2900,1369,676,2093,19,1010,471,1497,501,3768,1746,1441,305
18097330900,"Devington, Indianapolis, IN",31273,5015,0.1414,5686,4094,1592,633,4057,51,546,399,800,548,5138,2499,2298,201
18097331000,"Devington, Indianapolis, IN",36012,4095,0.1798,4194,3187,1007,216,3497,12,265,204,357,194,4000,1764,1611,153
18097340108,"Indianapolis, IN",24432,5528,0.4557,3761,2577,1184,493,2191,39,777,261,1010,428,3333,1442,1355,87
18097340109,"Summerfield South, Indianapolis, IN",52617,3515,0.1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
